543462,1,1464116,pv,1511658000
662867,1,1575622,pv,1511658000
561558,2,965809,pv,1511658000
894923,1,1879194,pv,1511658000
470572,3,1299190,pv,1511658001
543789,1,4558987,cart,1511658001
354759,2,4756105,pv,1511658001
382009,3,4801426,pv,1511658005
677046,3,4145813,pv,1511658001
946161,5,1506018,pv,1511658001
769215,6,2355072,pv,1511658002
652863,6,1320293,pv,1511658002
801610,5,634390,pv,1511658002
411478,8,2667323,pv,1511658002
431664,9,2520377,pv,1511658002
487768,8,2465336,pv,1511658002
223813,8,2042400,pv,1511658002
550127,10,65362,pv,1511658002
205752,11,171529,pv,1511658002
64419,11,2729260,pv,1511658002
756093,12,2520377,pv,1511658002
48353,10,583014,pv,1511658002
355509,5,4082778,pv,1511658003
826492,5,2735466,pv,1511658003
624915,1,2520377,pv,1511658003
682317,4,982926,fav,1511658003
677621,4,4801426,pv,1511658003
422974,3,4818107,pv,1511658003
86512,2,4756105,pv,1511658003
565218,5,3607361,pv,1511658003
232313,5,1730376,pv,1511658003
436966,3,3607361,cart,1511658003
561158,1,2342116,fav,1511658003
